contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,5022.02,3.01589e-13,147725,-1.2096,-8.72179e-21,-1.25,3.35694e-06,-8.77164e-21,-1,1.77344e-11,6835.82,-3.25261e-19,-3.6857e-05,-1.67729e-20,0,0.269514
SM,3,1,-5022.02,-2.73348e-12,147725,1.20959,5.55077e-16,-1.25,-3.35694e-06,5.58249e-16,-1,7.07158e-11,-6835.82,-3.81633e-12,3.6857e-05,4.81594e-20,0,0.269514
