contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,4428.33,-4.19204e-12,85168.1,-1.19878,-8.99973e-21,-1.25,3.83491e-06,-9.0474e-21,-1,1.45432e-11,6216.39,0,-3.28815e-05,2.82301e-20,0,0.209402
SM,3,1,-4428.33,-2.1534e-11,85168.1,1.19877,-1.38782e-15,-1.25,-3.83491e-06,-1.39517e-15,-1,5.84142e-11,-6216.39,8.67268e-12,3.28815e-05,2.35108e-19,0,0.209402
