contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,3255.93,-5.26673e-12,-11356.7,-1.18433,1.11021e-15,-1.25,4.43308e-06,1.11584e-15,-1,1.09834e-11,5257.46,5.8665e-12,-2.83218e-05,-2.04606e-21,0,0.139271
SM,3,1,-3255.93,-5.23775e-11,-11356.7,1.18432,-2.35926e-15,-1.25,-4.43308e-06,-2.37121e-15,-1,4.32041e-11,-5257.46,1.24663e-11,2.83218e-05,2.65886e-19,0,0.139271
