contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,3589.36,-7.07182e-12,6593.31,-1.19683,2.22044e-15,-1.25,3.95335e-06,2.23141e-15,-1,1.28184e-11,5436.71,1.21316e-11,-2.85225e-05,6.97097e-20,0,0.199383
SM,3,1,-3589.36,-5.44001e-11,6593.31,1.19682,-3.5946e-20,-1.25,-3.95335e-06,-3.61236e-20,-1,4.98011e-11,-5436.71,0,2.85225e-05,4.18356e-19,0,0.199383
