contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,18210.6,-2.48939e-10,583218,-1.15237,1.11021e-15,-1.25001,5.52146e-06,1.11787e-15,-1,2.0075e-11,11152.9,1.24676e-11,-0.000122947,1.83017e-18,0,0.00902003
SM,3,1,-18210.6,-6.96481e-10,583218,1.15236,-1.38814e-16,-1.25001,-5.52146e-06,-1.39772e-16,-1,7.31708e-11,-11152.9,1.55845e-12,0.000122947,5.23364e-18,0,0.00902003
