contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,5611.13,1.15806e-11,220013,-1.19283,1.11021e-15,-1.25,4.07845e-06,1.11715e-15,-1,1.68578e-11,7550.57,8.43523e-12,-4.13148e-05,-1.10707e-19,0,0.179346
SM,3,1,-5611.13,4.08053e-11,220013,1.19283,-1.94293e-15,-1.25,-4.07845e-06,-1.95507e-15,-1,6.69599e-11,-7550.57,1.47616e-11,4.13148e-05,-3.27175e-19,0,0.179346
