contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,7810.37,3.41032e-10,1.19032e+06,-1.15507,-1.434e-20,-1.25,5.54281e-06,-1.44948e-20,-1,4.53004e-11,17116.1,4.33681e-19,-5.25335e-05,-1.40183e-18,0,0.0190399
SM,3,1,-7810.37,9.11451e-10,1.19032e+06,1.15506,2.7751e-16,-1.25,-5.54281e-06,2.80505e-16,-1,1.45187e-10,-17116.1,-4.80196e-12,5.25335e-05,-3.83251e-18,0,0.0190399
