contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,5033.54,-3.02315e-12,152973,-1.21127,-8.78797e-21,-1.25,3.23732e-06,-8.83895e-21,-1,1.84754e-11,6887.41,0,-3.73644e-05,1.86905e-20,0,0.279532
SM,3,1,-5033.54,5.95679e-12,152973,1.21126,-8.32702e-16,-1.25,-3.23732e-06,-8.37533e-16,-1,7.23871e-11,-6887.41,5.7682e-12,3.73644e-05,-4.77774e-20,0,0.279532
