contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,346817,1.59533e-11,1.68577e+06,-1.00209,-6.41798e-22,-1.25004,4.09365e-06,-6.48217e-22,-1,0,0,0,-0.00165361,-3.96921e-20,0,0.00458
SM,3,1,-346817,1.16454e-10,1.68577e+06,1.00209,-6.93894e-16,-1.25004,-4.09365e-06,-7.00833e-16,-1,0,0,0,0.00165361,-2.77515e-19,0,0.00458
