contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,503.28,-9.72416e-11,-467115,-1.16028,-1.02306e-20,-1.24999,5.25531e-06,-1.02503e-20,-1,1.42031e-12,725.097,-2.71051e-20,-1.61134e-05,1.25374e-18,0,0.0390799
SM,3,1,-503.28,-3.18878e-10,-467115,1.16027,-1.24904e-15,-1.24999,-5.25531e-06,-1.25144e-15,-1,4.90839e-12,-725.097,9.0739e-13,1.61134e-05,3.60974e-18,0,0.0390799
