contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,12668.6,1.28946e-10,690871,-1.16797,-1.03298e-20,-1.25,5.04871e-06,-1.04163e-20,-1,2.55141e-11,12204.2,4.33681e-19,-7.57346e-05,-7.04331e-19,0,0.0691403
SM,3,1,-12668.6,3.43001e-10,690871,1.16796,-1.11026e-15,-1.25,-5.04871e-06,-1.11955e-15,-1,8.79491e-11,-12204.2,1.36628e-11,7.57346e-05,-2.11267e-18,0,0.0691403
