contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,4460.35,2.24284e-12,91516.7,-1.20789,-9.09237e-21,-1.25,3.47569e-06,-9.14134e-21,-1,1.65321e-11,6278.99,3.25261e-19,-3.3463e-05,4.97724e-21,0,0.259495
SM,3,1,-4460.35,-2.13648e-11,91516.7,1.20789,-1.38813e-16,-1.25,-3.47569e-06,-1.3956e-16,-1,6.37634e-11,-6278.99,8.76076e-13,3.3463e-05,1.86468e-19,0,0.259495
