contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,4489.4,-1.01224e-11,85283.1,-1.18866,-9.47618e-21,-1.25,4.31386e-06,-9.52547e-21,-1,1.39061e-11,6218.13,-1.0842e-19,-3.22876e-05,1.30425e-19,0,0.159308
SM,3,1,-4489.4,-2.31893e-11,85283.1,1.18865,-6.93926e-16,-1.25,-4.31386e-06,-6.97536e-16,-1,5.39257e-11,-6218.13,4.33714e-12,3.22876e-05,3.03326e-19,0,0.159308
