contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,-12991.1,1.59055e-10,409185,-1.10943,1.11022e-15,-1.24998,5.2907e-06,1.11985e-15,-1,1.34609e-11,9407.89,1.05355e-11,0.000126587,-1.26046e-18,0,0.0236998
SM,3,1,12991.1,5.04755e-10,409185,1.10942,-1.38801e-16,-1.24998,-5.2907e-06,-1.40005e-16,-1,4.16136e-11,-9407.89,1.31693e-12,-0.000126587,-4.3771e-18,0,0.0236998
