contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,-1098.21,-6.42793e-11,-384714,-1.16285,1.11021e-15,-1.25,5.13461e-06,1.11208e-15,-1,2.85359e-12,1547.9,1.7214e-12,1.33927e-05,9.49139e-19,0,0.0491004
SM,3,1,1098.21,-2.61217e-10,-384714,1.16285,1.38741e-16,-1.25,-5.13461e-06,1.38974e-16,-1,1.11156e-11,-1547.9,-2.15175e-13,-1.33927e-05,3.89173e-18,0,0.0491004
