contact_type,A,B,f_x,f_y,f_z,X,Y,Z,n_x,n_y,n_z,torque_x,torque_y,torque_z,delta_tan_x,delta_tan_y,delta_tan_z,delta_time
SM,0,1,4059.42,-1.13909e-11,55854,-1.20615,-9.09237e-21,-1.25,3.59503e-06,-9.14004e-21,-1,1.52714e-11,5925.12,6.50521e-19,-3.1534e-05,1.02988e-19,0,0.249476
SM,3,1,-4059.42,-3.31968e-11,55854,1.20614,-8.32703e-16,-1.25,-3.59503e-06,-8.37069e-16,-1,5.91298e-11,-5925.12,4.95952e-12,3.1534e-05,2.52939e-19,0,0.249476
