X,Y,Z,r,absv
-0.0928985,0,0.71399,0.0031,1.96414
-0.0907789,0,0.724719,0.0034,1.96414
-0.0819106,0,0.70921,0.00325,1.96414
-0.0801407,0,0.716806,0.0031,1.96414
-0.0918548,0,0.700399,0.0032,1.96414
-0.0844874,0,0.69789,0.0031,1.96414
-0.0913132,0,0.692925,0.0031,1.96414
-0.0840113,0,0.684929,0.0033,1.96414
-0.0745368,0,0.694751,0.0033,1.96414
-0.0762005,0,0.686673,0.00325,1.96414
-0.075884,0,0.704429,0.00315,1.96414
-0.0836393,0,0.724759,0.00315,1.96414
-0.0888124,0,0.733155,0.003,1.96414
-0.0755714,0,0.678724,0.0033,1.96414
-0.0647847,0,0.685703,0.0033,1.96414
-0.0759711,0,0.734948,0.00335,1.96414
-0.0866994,0,0.742843,0.0031,1.96414
-0.0729502,0,0.72719,0.00345,1.96414
-0.0720826,0,0.719674,0.00345,1.96414
-0.0525751,0,0.688542,0.0034,1.96414
-0.0632298,0,0.694345,0.00345,1.96414
-0.0667838,0,0.674509,0.00315,1.96414
-0.055685,0,0.682082,0.00315,1.96414
-0.0870796,0,0.678168,0.00335,1.96414
-0.0925722,0,0.682929,0.0031,1.96414
-0.0891512,0,0.707698,0.00305,1.96414
-0.0595959,0,0.674884,0.0032,1.96414
-0.0742875,0,0.670837,0.0035,1.96414
-0.0643664,0,0.667558,0.003,1.96414
-0.0574544,0,0.665547,0.0035,1.96414
-0.0646394,0,0.729861,0.003,1.96414
-0.0703404,0,0.742321,0.0031,1.96414
-0.072985,0,0.662947,0.0033,1.96414
-0.0613064,0,0.656063,0.0035,1.96414
-0.0488714,0,0.662585,0.0032,1.96414
-0.0501007,0,0.673096,0.003,1.96414
-0.0487272,0,0.654605,0.0035,1.96414
-0.0650552,0,0.710568,0.003,1.96414
-0.061949,0,0.717291,0.00345,1.96414
-0.0748151,0,0.654037,0.0032,1.96414
-0.0838618,0,0.657227,0.0035,1.96414
-0.0824426,0,0.664637,0.00335,1.96414
-0.0465038,0,0.680091,0.00305,1.96414
-0.0682196,0,0.702854,0.0033,1.96414
-0.0596975,0,0.704894,0.00345,1.96414
-0.0562676,0,0.711895,0.00305,1.96414
-0.0497882,0,0.723899,0.00305,1.96414
-0.0589205,0,0.724573,0.00325,1.96414
-0.0473095,0,0.706277,0.003,1.96414
-0.0565958,0,0.697844,0.0032,1.96414
-0.0925652,0,0.672141,0.0034,1.96414
