X,Y,Z,r,absv
-0.0928985,0,0.910276,0.0031,0
-0.0907789,0,0.921006,0.0034,0
-0.0819106,0,0.905496,0.00325,0
-0.0801407,0,0.913092,0.0031,0
-0.0918548,0,0.896685,0.0032,0
-0.0844874,0,0.894177,0.0031,0
-0.0913132,0,0.889212,0.0031,0
-0.0840113,0,0.881216,0.0033,0
-0.0745368,0,0.891038,0.0033,0
-0.0762005,0,0.88296,0.00325,0
-0.075884,0,0.900715,0.00315,0
-0.0836393,0,0.921046,0.00315,0
-0.0888124,0,0.929441,0.003,0
-0.0755714,0,0.875011,0.0033,0
-0.0647847,0,0.88199,0.0033,0
-0.0759711,0,0.931235,0.00335,0
-0.0866994,0,0.93913,0.0031,0
-0.0729502,0,0.923476,0.00345,0
-0.0720826,0,0.915961,0.00345,0
-0.0525751,0,0.884829,0.0034,0
-0.0632298,0,0.890631,0.00345,0
-0.0667838,0,0.870796,0.00315,0
-0.055685,0,0.878369,0.00315,0
-0.0870796,0,0.874455,0.00335,0
-0.0925722,0,0.879216,0.0031,0
-0.0891512,0,0.903985,0.00305,0
-0.0595959,0,0.871171,0.0032,0
-0.0742875,0,0.867123,0.0035,0
-0.0643664,0,0.863845,0.003,0
-0.0574544,0,0.861833,0.0035,0
-0.0646394,0,0.926148,0.003,0
-0.0703404,0,0.938608,0.0031,0
-0.072985,0,0.859234,0.0033,0
-0.0613064,0,0.85235,0.0035,0
-0.0488714,0,0.858872,0.0032,0
-0.0501007,0,0.869382,0.003,0
-0.0487272,0,0.850892,0.0035,0
-0.0650552,0,0.906854,0.003,0
-0.061949,0,0.913578,0.00345,0
-0.0748151,0,0.850323,0.0032,0
-0.0838618,0,0.853514,0.0035,0
-0.0824426,0,0.860924,0.00335,0
-0.0465038,0,0.876378,0.00305,0
-0.0682196,0,0.89914,0.0033,0
-0.0596975,0,0.90118,0.00345,0
-0.0562676,0,0.908182,0.00305,0
-0.0497882,0,0.920186,0.00305,0
-0.0589205,0,0.92086,0.00325,0
-0.0473095,0,0.902564,0.003,0
-0.0565958,0,0.894131,0.0032,0
-0.0925652,0,0.868427,0.0034,0
-0.0439738,0,0.885941,0.0031,0
-0.0495869,0,0.891686,0.003,0
-0.054742,0,0.930035,0.00325,0
-0.0638815,0,0.933315,0.00325,0
-0.0380267,0,0.914929,0.0032,0
-0.0403434,0,0.928118,0.0035,0
-0.0621609,0,0.844433,0.0033,0
-0.0528198,0,0.841558,0.0034,0
-0.0444116,0,0.911206,0.0034,0
-0.0917022,0,0.856417,0.003,0
-0.0835348,0,0.844986,0.0035,0
-0.0927984,0,0.846747,0.0031,0
-0.0771864,0,0.8412,0.00305,0
-0.0359716,0,0.902231,0.00305,0
-0.0373635,0,0.893146,0.00315,0
-0.0732556,0,0.908587,0.003,0
-0.0924753,0,0.836246,0.0032,0
-0.0819548,0,0.830831,0.003,0
-0.0697471,0,0.843593,0.00345,0
-0.0817129,0,0.868026,0.0032,0
-0.0281749,0,0.89504,0.00335,0
-0.034719,0,0.881163,0.0033,0
-0.0293716,0,0.904945,0.0034,0
-0.0880903,0,0.827184,0.00305,0
-0.0383187,0,0.858387,0.00345,0
-0.0386964,0,0.842125,0.00315,0
-0.0400901,0,0.849273,0.00335,0
-0.0460175,0,0.837418,0.00305,0
-0.0567514,0,0.829903,0.003,0
-0.0722112,0,0.835391,0.0031,0
-0.0765043,0,0.823238,0.0035,0
-0.0851067,0,0.818807,0.00345,0
-0.0347207,0,0.874,0.00345,0
-0.0224498,0,0.882452,0.0032,0
-0.0316733,0,0.88773,0.00345,0
-0.0606317,0,0.940713,0.00315,0
-0.049382,0,0.943196,0.0033,0
-0.0460788,0,0.933322,0.0033,0
-0.0324805,0,0.846376,0.0031,0
-0.0292426,0,0.855876,0.0033,0
-0.0611657,0,0.83669,0.00325,0
-0.0652809,0,0.830047,0.00325,0
-0.0684517,0,0.814697,0.0034,0
-0.0772348,0,0.813725,0.0035,0
-0.0646637,0,0.82142,0.00345,0
-0.0194052,0,0.893027,0.0035,0
-0.0732166,0,0.945745,0.0031,0
-0.0775863,0,0.938649,0.0035,0
-0.0796131,0,0.948929,0.00335,0
-0.0395273,0,0.940186,0.00345,0
-0.0465375,0,0.952837,0.0031,0
-0.0562933,0,0.948534,0.00335,0
-0.0373927,0,0.949845,0.00315,0
-0.0421243,0,0.867316,0.00335,0
-0.0306025,0,0.8657,0.00345,0
-0.0100439,0,0.891763,0.00305,0
-0.00886257,0,0.900729,0.0033,0
-0.021527,0,0.904396,0.0034,0
-0.0493652,0,0.819992,0.0031,0
-0.0474021,0,0.828311,0.0033,0
-0.0571699,0,0.817912,0.0032,0
-0.0917438,0,0.815812,0.00305,0
-0.0842371,0,0.805994,0.00315,0
-0.0553634,0,0.956281,0.0034,0
-0.0512573,0,0.96425,0.003,0
-0.0409591,0,0.962971,0.00345,0
-0.0191575,0,0.852051,0.00315,0
-0.0231582,0,0.860938,0.00345,0
-0.0661471,0,0.947736,0.00305,0
-0.0179889,0,0.870049,0.00315,0
-0.0624274,0,0.959039,0.00335,0
-0.0708244,0,0.956726,0.00345,0
-0.0628453,0,0.966875,0.00315,0
-0.0108255,0,0.8466,0.00325,0
