X,Y,Z,r,absv
-0.0928985,0,0.861235,0.0031,0.980688
-0.0907789,0,0.871964,0.0034,0.980688
-0.0819106,0,0.856454,0.00325,0.980688
-0.0801407,0,0.86405,0.0031,0.980688
-0.0918548,0,0.847644,0.0032,0.980688
-0.0844874,0,0.845135,0.0031,0.980688
-0.0913132,0,0.84017,0.0031,0.980688
-0.0840113,0,0.832174,0.0033,0.980688
-0.0745368,0,0.841996,0.0033,0.980688
-0.0762005,0,0.833918,0.00325,0.980688
-0.075884,0,0.851673,0.00315,0.980688
-0.0836393,0,0.872004,0.00315,0.980688
-0.0888124,0,0.8804,0.003,0.980688
-0.0755714,0,0.82597,0.0033,0.980688
-0.0647847,0,0.832948,0.0033,0.980688
-0.0759711,0,0.882193,0.00335,0.980688
-0.0866994,0,0.890088,0.0031,0.980688
-0.0729502,0,0.874434,0.00345,0.980688
-0.0720826,0,0.866919,0.00345,0.980688
-0.0525751,0,0.835787,0.0034,0.980688
-0.0632298,0,0.84159,0.00345,0.980688
-0.0667838,0,0.821754,0.00315,0.980688
-0.055685,0,0.829327,0.00315,0.980688
-0.0870796,0,0.825413,0.00335,0.980688
-0.0925722,0,0.830174,0.0031,0.980688
-0.0891512,0,0.854943,0.00305,0.980688
-0.0595959,0,0.822129,0.0032,0.980688
-0.0742875,0,0.818081,0.0035,0.980688
-0.0643664,0,0.814803,0.003,0.980688
-0.0574544,0,0.812791,0.0035,0.980688
-0.0646394,0,0.877106,0.003,0.980688
-0.0703404,0,0.889566,0.0031,0.980688
-0.072985,0,0.810192,0.0033,0.980688
-0.0613064,0,0.803308,0.0035,0.980688
-0.0488714,0,0.80983,0.0032,0.980688
-0.0501007,0,0.820341,0.003,0.980688
-0.0487272,0,0.80185,0.0035,0.980688
-0.0650552,0,0.857812,0.003,0.980688
-0.061949,0,0.864536,0.00345,0.980688
-0.0748151,0,0.801281,0.0032,0.980688
-0.0838618,0,0.804472,0.0035,0.980688
-0.0824426,0,0.811882,0.00335,0.980688
-0.0465038,0,0.827335,0.00305,0.980688
-0.0682196,0,0.850098,0.0033,0.980688
-0.0596975,0,0.852138,0.00345,0.980688
-0.0562676,0,0.85914,0.00305,0.980688
-0.0497882,0,0.871144,0.00305,0.980688
-0.0589205,0,0.871818,0.00325,0.980688
-0.0473095,0,0.853522,0.003,0.980688
-0.0565958,0,0.845089,0.0032,0.980688
-0.0925652,0,0.819385,0.0034,0.980688
-0.0439738,0,0.836899,0.0031,0.980688
-0.0495869,0,0.842644,0.003,0.980688
-0.054742,0,0.880993,0.00325,0.980688
-0.0638815,0,0.884273,0.00325,0.980688
-0.0380267,0,0.865887,0.0032,0.980688
-0.0403434,0,0.879076,0.0035,0.980688
-0.0621609,0,0.795391,0.0033,0.980688
-0.0528198,0,0.792516,0.0034,0.980688
-0.0444116,0,0.862164,0.0034,0.980688
-0.0917022,0,0.807375,0.003,0.980688
-0.0835348,0,0.795944,0.0035,0.980688
-0.0927984,0,0.797705,0.0031,0.980688
-0.0771864,0,0.792158,0.00305,0.980688
-0.0359716,0,0.853189,0.00305,0.980688
-0.0373635,0,0.844104,0.00315,0.980688
-0.0732556,0,0.859545,0.003,0.980688
-0.0924753,0,0.787204,0.0032,0.980688
-0.0819548,0,0.781789,0.003,0.980688
-0.0697471,0,0.794551,0.00345,0.980688
-0.0817129,0,0.818983,0.0032,0.980688
-0.0281749,0,0.845998,0.00335,0.980688
-0.034719,0,0.832121,0.0033,0.980688
-0.0293716,0,0.855903,0.0034,0.980688
-0.0880903,0,0.778143,0.00305,0.980688
-0.0383187,0,0.809346,0.00345,0.980688
-0.0386964,0,0.793083,0.00315,0.980688
-0.0400901,0,0.800231,0.00335,0.980688
-0.0460175,0,0.788376,0.00305,0.980688
-0.0567514,0,0.780861,0.003,0.980688
-0.0722112,0,0.786349,0.0031,0.980688
-0.0765043,0,0.774196,0.0035,0.980688
-0.0851067,0,0.769765,0.00345,0.980688
-0.0347207,0,0.824958,0.00345,0.980688
-0.0224498,0,0.83341,0.0032,0.980688
-0.0316733,0,0.838688,0.00345,0.980688
-0.0606317,0,0.891671,0.00315,0.980688
-0.049382,0,0.894155,0.0033,0.980688
-0.0460788,0,0.88428,0.0033,0.980688
-0.0324805,0,0.797334,0.0031,0.980688
-0.0292426,0,0.806834,0.0033,0.980688
-0.0611657,0,0.787648,0.00325,0.980688
-0.0652809,0,0.781006,0.00325,0.980688
-0.0684517,0,0.765655,0.0034,0.980688
-0.0772348,0,0.764683,0.0035,0.980688
-0.0646637,0,0.772378,0.00345,0.980688
-0.0194052,0,0.843985,0.0035,0.980688
-0.0732166,0,0.896703,0.0031,0.980688
-0.0775863,0,0.889607,0.0035,0.980688
-0.0796131,0,0.899887,0.00335,0.980688
-0.0395273,0,0.891144,0.00345,0.980688
-0.0465375,0,0.903795,0.0031,0.980688
-0.0562933,0,0.899492,0.00335,0.980688
-0.0373927,0,0.900803,0.00315,0.980688
-0.0421243,0,0.818274,0.00335,0.980688
-0.0306025,0,0.816659,0.00345,0.980688
-0.0100439,0,0.842721,0.00305,0.980688
-0.00886257,0,0.851687,0.0033,0.980688
-0.021527,0,0.855354,0.0034,0.980688
-0.0493652,0,0.77095,0.0031,0.980688
-0.0474021,0,0.77927,0.0033,0.980688
-0.0571699,0,0.76887,0.0032,0.980688
-0.0917438,0,0.76677,0.00305,0.980688
-0.0842371,0,0.756952,0.00315,0.980688
-0.0553634,0,0.907239,0.0034,0.980688
-0.0512573,0,0.915208,0.003,0.980688
-0.0409591,0,0.913929,0.00345,0.980688
-0.0191575,0,0.80301,0.00315,0.980688
-0.0231582,0,0.811896,0.00345,0.980688
-0.0661471,0,0.898694,0.00305,0.980688
-0.0179889,0,0.821007,0.00315,0.980688
-0.0624274,0,0.909997,0.00335,0.980688
-0.0708244,0,0.907684,0.00345,0.980688
-0.0628453,0,0.917834,0.00315,0.980688
-0.0108255,0,0.797558,0.00325,0.980688
-0.0151554,0,0.790024,0.0035,0.980688
-0.0240983,0,0.79588,0.00305,0.980688
-0.0116692,0,0.811618,0.00315,0.980688
-0.00927906,0,0.8047,0.0035,0.980688
-0.0869725,0,0.8993,0.00305,0.980688
-0.0790966,0,0.907817,0.0031,0.980688
-0.0306105,0,0.789668,0.0033,0.980688
-0.0923027,0,0.904068,0.003,0.980688
-0.0866404,0,0.911145,0.00325,0.980688
-0.0187179,0,0.864976,0.003,0.980688
-0.0261359,0,0.864492,0.0034,0.980688
-0.0760189,0,0.747298,0.0034,0.980688
-0.0915689,0,0.757216,0.0034,0.980688
-0.0741074,0,0.756064,0.0034,0.980688
-0.0863602,0,0.749993,0.00315,0.980688
-0.0383697,0,0.781811,0.0034,0.980688
-0.0732347,0,0.918536,0.00345,0.980688
-0.00505435,0,0.789953,0.0033,0.980688
0.00228518,0,0.795788,0.00345,0.980688
-0.00162499,0,0.803179,0.0035,0.980688
-0.0286587,0,0.89699,0.003,0.980688
-0.0326456,0,0.913669,0.0031,0.980688
-0.0275516,0,0.906002,0.00345,0.980688
-0.0122242,0,0.783236,0.00315,0.980688
-0.0181408,0,0.778572,0.00335,0.980688
-0.0241005,0,0.783047,0.003,0.980688
-0.0253455,0,0.826884,0.0032,0.980688
-0.0143313,0,0.828183,0.0034,0.980688
-0.010403,0,0.834315,0.003,0.980688
-0.0383242,0,0.770966,0.0031,0.980688
-0.0522358,0,0.758923,0.00325,0.980688
-0.0443781,0,0.763678,0.003,0.980688
-0.0680262,0,0.746267,0.003,0.980688
-0.0882941,0,0.740854,0.0032,0.980688
-0.0734494,0,0.735596,0.0032,0.980688
-0.0836381,0,0.735275,0.00305,0.980688
-0.00459151,0,0.779322,0.0033,0.980688
-0.0300942,0,0.774472,0.0031,0.980688
-0.0126199,0,0.772224,0.0032,0.980688
-0.0251467,0,0.769228,0.003,0.980688
-0.0252049,0,0.871714,0.0034,0.980688
-0.0426525,0,0.871443,0.0032,0.980688
-0.0892771,0,0.921675,0.00305,0.980688
-0.0824448,0,0.91892,0.00315,0.980688
-0.0897406,0,0.728478,0.0035,0.980688
-0.0314351,0,0.889101,0.0031,0.980688
-0.036764,0,0.76275,0.00305,0.980688
-0.0301678,0,0.759264,0.00315,0.980688
-0.0433225,0,0.754086,0.00325,0.980688
-0.0599347,0,0.754475,0.00325,0.980688
-0.060877,0,0.761553,0.00305,0.980688
-0.00559304,0,0.827885,0.0035,0.980688
-0.00243393,0,0.844635,0.0033,0.980688
-0.0107338,0,0.821097,0.0033,0.980688
-0.0494889,0,0.925157,0.0035,0.980688
-0.040537,0,0.921685,0.00345,0.980688
-0.0334151,0,0.922818,0.003,0.980688
0.00945374,0,0.805102,0.00305,0.980688
0.00244849,0,0.786262,0.00335,0.980688
0.0131383,0,0.788116,0.00335,0.980688
0.00942878,0,0.794971,0.00315,0.980688
0.00203498,0,0.809603,0.003,0.980688
-0.0181228,0,0.893297,0.00315,0.980688
-0.0172779,0,0.901916,0.0033,0.980688
0.00735122,0,0.85364,0.00325,0.980688
0.0100476,0,0.846115,0.00325,0.980688
-0.000790097,0,0.836531,0.00335,0.980688
-0.0340469,0,0.874412,0.00325,0.980688
-0.00594922,0,0.90531,0.0032,0.980688
