X,Y,Z,r,absv
-0.0866404,0,0.518577,0.00325,2.94192
-0.0187179,0,0.472407,0.003,2.94192
-0.0261359,0,0.471924,0.0034,2.94192
-0.0821773,0,0.37504,0.0034,1.15955
-0.0948679,0,0.379117,0.0034,1.58838
-0.0758922,0,0.377426,0.0034,0.584946
-0.0886841,0,0.373881,0.00315,1.64507
-0.039292,0,0.396426,0.0034,0.164968
-0.0732347,0,0.525968,0.00345,2.94192
-0.00506839,0,0.402282,0.0033,1.35549
0.00210197,0,0.406058,0.00345,0.94572
-0.00247113,0,0.412466,0.0035,1.19132
-0.0286587,0,0.504422,0.003,2.94192
-0.0326456,0,0.521101,0.0031,2.94192
-0.0275516,0,0.513434,0.00345,2.94192
-0.00970726,0,0.397144,0.00315,1.33849
-0.0189808,0,0.392196,0.00335,0.677953
-0.0264825,0,0.394103,0.003,0.281545
-0.0253455,0,0.434316,0.0032,2.94192
-0.0143313,0,0.435615,0.0034,2.94192
-0.010403,0,0.441747,0.003,2.94192
-0.0420473,0,0.390287,0.0031,1.76288
-0.0539684,0,0.386201,0.00325,0.479594
-0.0426838,0,0.384353,0.003,1.5168
-0.0707701,0,0.373663,0.003,0.608401
-0.0968183,0,0.372621,0.0032,0.165931
-0.0761978,0,0.370677,0.0032,0.339205
-0.0919405,0,0.368716,0.00305,0.14649
-0.00384028,0,0.394314,0.0033,0.250177
-0.0340048,0,0.392492,0.0031,0.680951
-0.0102643,0,0.39071,0.0032,1.01765
-0.023641,0,0.387821,0.003,0.69757
-0.0252049,0,0.479146,0.0034,2.94192
-0.0426525,0,0.478875,0.0032,2.94192
-0.0892771,0,0.529107,0.00305,2.94192
-0.0824448,0,0.526352,0.00315,2.94192
-0.0965406,0,0.364192,0.0035,0.628651
-0.0314351,0,0.496533,0.0031,2.94192
-0.0366063,0,0.386939,0.00305,1.33812
-0.0301637,0,0.387495,0.00315,2.55341
-0.0412474,0,0.378046,0.00325,0.99358
-0.0584105,0,0.381577,0.00325,0.201206
-0.0646478,0,0.382613,0.00305,0.433022
-0.00559304,0,0.435317,0.0035,2.94192
-0.00243393,0,0.452067,0.0033,2.94192
-0.0107338,0,0.428529,0.0033,2.94192
-0.0494889,0,0.532589,0.0035,2.94192
-0.040537,0,0.529117,0.00345,2.94192
-0.0334151,0,0.53025,0.003,2.94192
0.00950953,0,0.413048,0.00305,0.713175
0.00431211,0,0.399022,0.00335,2.7064
0.0119464,0,0.400289,0.00335,1.05708
0.00868897,0,0.406678,0.00315,2.72742
0.00203694,0,0.417038,0.003,2.76186
-0.0181228,0,0.500728,0.00315,2.94192
-0.0172779,0,0.509348,0.0033,2.94192
0.00735122,0,0.461071,0.00325,2.94192
0.0100476,0,0.453547,0.00325,2.94192
-0.000790097,0,0.443963,0.00335,2.94192
-0.0340469,0,0.481844,0.00325,2.94192
-0.00594922,0,0.512742,0.0032,2.94192
-0.0118654,0,0.504682,0.00305,2.94192
-0.024097,0,0.52004,0.0034,2.94192
0.0235207,0,0.394138,0.00315,1.8759
0.024548,0,0.402344,0.00305,0.28054
0.0185223,0,0.397511,0.00305,1.69752
0.0179494,0,0.403595,0.003,0.689188
-0.0277849,0,0.381568,0.00325,0.778831
-0.0143762,0,0.379378,0.00335,1.61279
-0.0470679,0,0.37472,0.0035,0.598615
-0.0304734,0,0.375878,0.00305,0.378223
0.00100077,0,0.431703,0.00345,2.94192
-0.000660799,0,0.423928,0.00325,2.94192
0.013229,0,0.441231,0.00305,2.94192
0.0120755,0,0.46691,0.00345,2.94192
0.0206327,0,0.462279,0.00345,2.94192
0.0214055,0,0.454971,0.0034,2.94192
0.0186653,0,0.4462,0.00305,2.94192
-0.000494428,0,0.465606,0.0033,2.94192
-0.0491445,0,0.381377,0.00345,0.0906102
0.0278914,0,0.466406,0.00315,2.94192
0.0327059,0,0.455045,0.0032,2.94192
0.0241667,0,0.475148,0.0035,2.94192
-0.0229635,0,0.487524,0.00305,2.94192
-0.0337646,0,0.489665,0.0035,2.94192
0.00890461,0,0.393194,0.0031,0.940591
0.0319955,0,0.399395,0.0031,0.52585
0.00792079,0,0.446386,0.0031,2.94192
0.0404375,0,0.388066,0.003,1.49152
0.0406116,0,0.400489,0.0032,2.31024
0.0345231,0,0.407539,0.003,2.94192
0.024805,0,0.408684,0.0032,2.94192
0.0422566,0,0.406927,0.003,1.4414
0.0467764,0,0.393972,0.00345,2.41505
0.0400696,0,0.394424,0.00305,1.75632
-0.0357771,0,0.538594,0.0031,2.94192
-0.0454173,0,0.539588,0.0034,2.94192
0.0538378,0,0.390602,0.0032,0.927737
0.0544003,0,0.397333,0.00335,0.842397
0.0478927,0,0.387505,0.0031,0.274039
0.050492,0,0.404582,0.00325,2.94192
-0.0222323,0,0.535119,0.00345,2.94192
-0.0286988,0,0.541695,0.0031,2.94192
0.0354728,0,0.466644,0.0033,2.94192
0.0349954,0,0.476212,0.0031,2.94192
0.0397091,0,0.460564,0.00305,2.94192
-0.0121033,0,0.465528,0.0031,2.94192
0.0181924,0,0.413005,0.003,2.94192
0.0124659,0,0.420951,0.00325,2.94192
0.0604436,0,0.401932,0.0035,2.94192
0.0627456,0,0.39279,0.0033,2.27226
0.0703123,0,0.393231,0.00335,2.55451
0.0352238,0,0.484476,0.00315,2.94192
0.0481948,0,0.476516,0.0034,2.94192
0.0435596,0,0.487401,0.0032,2.94192
0.0447491,0,0.469685,0.00315,2.94192
0.024102,0,0.483928,0.00305,2.94192
0.0102464,0,0.434315,0.00345,2.94192
-0.00781471,0,0.378075,0.00305,0.227873
-0.0214448,0,0.379075,0.003,1.37779
-0.00986474,0,0.383937,0.003,0.596013
-0.0170444,0,0.385305,0.0032,0.490034
-0.00139783,0,0.381244,0.00325,0.533704
-0.00410835,0,0.38749,0.0034,0.84141
-0.0485327,0,0.368111,0.00305,0.612628
-0.0365245,0,0.373318,0.00345,0.472906
-0.0627894,0,0.376479,0.00325,0.465756
-0.0575012,0,0.370795,0.0031,0.343889
0.0103062,0,0.386558,0.0033,0.234661
0.0236584,0,0.3876,0.00345,1.02767
-0.0919168,0,0.540242,0.0032,2.94192
-0.0820073,0,0.534868,0.003,2.94192
-0.0781163,0,0.545739,0.00325,2.94192
-0.0696639,0,0.540421,0.00315,2.94192
-0.0843481,0,0.541807,0.0035,2.94192
-0.0901527,0,0.550627,0.003,2.94192
-0.0159252,0,0.45804,0.0032,2.94192
0.069514,0,0.402257,0.0034,2.80614
0.0820286,0,0.395405,0.00345,2.04113
0.0679332,0,0.386712,0.0034,0.415947
0.076265,0,0.400356,0.00345,2.20681
-0.013216,0,0.523006,0.00305,2.94192
-0.0840294,0,0.368048,0.0031,0.537954
0.0537618,0,0.4652,0.00325,2.94192
0.0564339,0,0.477005,0.00345,2.94192
0.0518611,0,0.458262,0.00335,2.94192
0.091608,0,0.391251,0.00335,1.65414
0.0894597,0,0.384584,0.0031,1.73975
0.0880607,0,0.399615,0.0034,2.94192
0.076488,0,0.390658,0.0034,0.445324
-0.00186907,0,0.494955,0.00325,2.94192
-0.0117675,0,0.491034,0.0033,2.94192
-0.00172196,0,0.505944,0.0032,2.94192
0.0520453,0,0.377899,0.0032,1.01072
0.0404322,0,0.381968,0.0031,0.688673
0.0546956,0,0.383741,0.00325,2.33271
-0.000198953,0,0.484303,0.00305,2.94192
-0.012181,0,0.480352,0.00345,2.94192
-0.0184822,0,0.493466,0.00315,2.94192
-0.0239839,0,0.372549,0.003,0.306461
-0.0180214,0,0.374167,0.00305,0.811363
0.0567577,0,0.408659,0.00335,2.94192
0.0443331,0,0.416974,0.003,2.94192
-0.058393,0,0.537537,0.0035,2.94192
0.0865919,0,0.412344,0.0031,2.94192
0.0766128,0,0.407571,0.0034,2.94192
-0.0739523,0,0.533485,0.00315,2.94192
-0.0658802,0,0.532958,0.00345,2.94192
0.00643188,0,0.500114,0.00345,2.94192
0.0085641,0,0.48855,0.0032,2.94192
-0.0310499,0,0.369882,0.003,0.611896
-0.0540979,0,0.365156,0.00335,0.228751
-0.0425593,0,0.369899,0.0032,0.268621
0.0222287,0,0.436477,0.00345,2.94192
0.0299693,0,0.439007,0.003,2.94192
0.0270438,0,0.449825,0.0033,2.94192
-0.0344284,0,0.381035,0.00335,1.64872
-0.0887017,0,0.363471,0.00315,0.131265
0.0016161,0,0.472839,0.00305,2.94192
0.0115279,0,0.480795,0.00305,2.94192
0.0464734,0,0.380804,0.0031,0.649296
0.0369948,0,0.44412,0.00315,2.94192
0.0397719,0,0.452858,0.0034,2.94192
0.0164366,0,0.486182,0.00325,2.94192
0.0278144,0,0.426339,0.00305,2.94192
0.0159253,0,0.428007,0.00305,2.94192
0.0646788,0,0.414244,0.00305,2.94192
0.0736331,0,0.414384,0.00325,2.94192
-0.00883658,0,0.497715,0.0031,2.94192
-0.065477,0,0.370797,0.00305,0.17626
-0.0867415,0,0.556947,0.0034,2.94192
-0.0914989,0,0.564491,0.0032,2.94192
-0.0839893,0,0.570671,0.00305,2.94192
-0.0808763,0,0.552546,0.0034,2.94192
-0.0779306,0,0.566806,0.00305,2.94192
-0.0746564,0,0.559131,0.0033,2.94192
-0.0189688,0,0.367942,0.0031,0.273419
-0.0110448,0,0.372289,0.00335,0.462368
-0.0023101,0,0.37468,0.00345,0.607169
0.022857,0,0.492262,0.0031,2.94192
0.0304891,0,0.493674,0.00305,2.94192
-0.008859,0,0.472701,0.00305,2.94192
0.0488801,0,0.451622,0.0035,2.94192
0.0814675,0,0.424106,0.00315,2.94192
-0.0922835,0,0.57578,0.0033,2.94192
0.0964857,0,0.37828,0.003,2.19519
0.0791975,0,0.384169,0.00315,0.254327
0.0852647,0,0.378628,0.0031,2.10606
0.0791842,0,0.378036,0.003,1.09255
0.0730848,0,0.37919,0.0031,0.712425
0.00616589,0,0.513895,0.00315,2.94192
0.00358474,0,0.522177,0.0032,2.94192
-0.00501955,0,0.524619,0.0032,2.94192
0.0577904,0,0.485628,0.00345,2.94192
0.00354725,0,0.385092,0.00305,2.49882
0.00321982,0,0.391195,0.003,1.94672
0.0358133,0,0.433756,0.0033,2.94192
0.0906218,0,0.375141,0.00325,1.08447
0.00381591,0,0.377533,0.00315,1.03156
0.0101314,0,0.379908,0.0033,0.781225
0.0556097,0,0.424667,0.0034,2.94192
0.0543915,0,0.417324,0.00325,2.94192
0.04575,0,0.424169,0.0035,2.94192
0.0332745,0,0.418868,0.0031,2.94192
0.0638192,0,0.434709,0.00325,2.94192
0.0448089,0,0.432971,0.00315,2.94192
0.0689531,0,0.422656,0.003,2.94192
0.0513694,0,0.437054,0.003,2.94192
-0.0615558,0,0.366109,0.00315,0.223082
-0.0497565,0,0.359755,0.0034,0.429059
-0.0375918,0,0.36044,0.0032,0.392023
-0.0586932,0,0.360526,0.0032,0.135338
0.0596682,0,0.379782,0.00315,1.07035
0.0701246,0,0.373483,0.0035,0.922641
-0.0370724,0,0.366727,0.00315,0.617117
0.0152888,0,0.504054,0.00325,2.94192
0.0129115,0,0.525019,0.0033,2.94192
0.0201692,0,0.533036,0.0033,2.94192
0.0242416,0,0.521848,0.0035,2.94192
0.0153074,0,0.517052,0.00305,2.94192
0.00328073,0,0.531939,0.00305,2.94192
0.0441267,0,0.446227,0.00335,2.94192
0.0666241,0,0.379444,0.003,1.77347
0.0786762,0,0.372043,0.00315,1.05424
0.0738802,0,0.367829,0.00325,1.47969
0.063392,0,0.373295,0.003,0.738302
0.074397,0,0.427666,0.00335,2.94192
0.0860225,0,0.436693,0.00325,2.94192
0.0750579,0,0.435696,0.00345,2.94192
0.0869565,0,0.419538,0.00325,2.94192
0.0928343,0,0.432182,0.0031,2.94192
0.0461958,0,0.374279,0.0034,0.257333
-0.0666426,0,0.56299,0.0032,2.94192
-0.0722618,0,0.551197,0.0031,2.94192
-0.0658705,0,0.555068,0.0031,2.94192
-0.0261243,0,0.52704,0.00345,2.94192
0.0590257,0,0.457903,0.003,2.94192
0.0674461,0,0.462935,0.003,2.94192
0.0608309,0,0.469142,0.0035,2.94192
0.0115025,0,0.540438,0.0031,2.94192
-0.00169232,0,0.543089,0.0035,2.94192
-0.0103945,0,0.53384,0.0033,2.94192
-0.00525507,0,0.36866,0.0034,0.946264
-0.013008,0,0.366135,0.00315,0.111854
-0.0202244,0,0.361664,0.00335,0.273545
-0.00773628,0,0.362498,0.0033,0.177881
0.0820565,0,0.447393,0.0033,2.94192
0.0893625,0,0.444537,0.003,2.94192
0.0808739,0,0.431428,0.0035,2.94192
-0.0177359,0,0.54279,0.0034,2.94192
-0.00974937,0,0.543386,0.00325,2.94192
0.0777698,0,0.458678,0.00335,2.94192
0.0814719,0,0.465056,0.00305,2.94192
0.066308,0,0.452546,0.0035,2.94192
0.0696979,0,0.476471,0.00335,2.94192
0.00876057,0,0.373437,0.0033,0.811556
0.0161069,0,0.382541,0.0033,0.132348
0.0345068,0,0.38619,0.00315,1.41616
0.027824,0,0.382333,0.00315,1.2248
0.085258,0,0.371311,0.0034,0.690814
0.0338764,0,0.379264,0.00345,0.457789
0.0295345,0,0.391284,0.0035,0.669219
-0.0314534,0,0.363499,0.0034,0.0935115
-0.0260542,0,0.359014,0.00305,0.584114
-0.0252434,0,0.366292,0.00345,0.252485
0.027855,0,0.375886,0.00335,1.30554
0.0219237,0,0.379774,0.00315,0.675809
0.0377273,0,0.426639,0.0032,2.94192
0.04978,0,0.411854,0.0032,2.94192
0.0904539,0,0.365842,0.0033,0.255267
0.0618909,0,0.445482,0.00345,2.94192
0.0692661,0,0.442276,0.0035,2.94192
-0.0785783,0,0.364628,0.00335,0.614716
-0.0957942,0,0.35731,0.0033,0.352636
-0.0828955,0,0.359808,0.00305,0.207841
-0.0702297,0,0.573377,0.00335,2.94192
-0.0768877,0,0.57752,0.00345,2.94192
-0.0867818,0,0.58158,0.00325,2.94192
-0.0558649,0,0.529272,0.00325,2.94192
-0.0522292,0,0.54239,0.0033,2.94192
0.00426187,0,0.363431,0.0034,0.378975
-0.0075174,0,0.355856,0.00335,0.244674
0.00210411,0,0.369786,0.00305,0.486507
0.039737,0,0.375853,0.003,1.03619
0.0927283,0,0.451891,0.0031,2.94192
0.0856066,0,0.455269,0.00305,2.94192
0.0917576,0,0.460288,0.0035,2.94192
0.0742856,0,0.451444,0.00325,2.94192
0.0876972,0,0.468973,0.0032,2.94192
-0.0883991,0,0.588916,0.003,2.94192
0.0731962,0,0.467363,0.0032,2.94192
0.0788473,0,0.47425,0.00335,2.94192
0.0871823,0,0.476343,0.003,2.94192
0.092458,0,0.424651,0.00305,2.94192
-0.0908481,0,0.350985,0.0031,0.635993
-0.0891971,0,0.3571,0.00325,0.410346
0.0230868,0,0.419531,0.0035,2.94192
0.0315311,0,0.520022,0.0035,2.94192
0.0327781,0,0.528727,0.0034,2.94192
0.0224762,0,0.510958,0.0031,2.94192
0.0276431,0,0.534959,0.0034,2.94192
