X,Y,Z,r,absv
-0.0928985,0,0.603548,0.0031,2.45314
-0.0907789,0,0.614278,0.0034,2.45314
-0.0819106,0,0.598768,0.00325,2.45314
-0.0801407,0,0.606364,0.0031,2.45314
-0.0918548,0,0.589957,0.0032,2.45314
-0.0844874,0,0.587448,0.0031,2.45314
-0.0913132,0,0.582484,0.0031,2.45314
-0.0840113,0,0.574488,0.0033,2.45314
-0.0745368,0,0.58431,0.0033,2.45314
-0.0762005,0,0.576232,0.00325,2.45314
-0.075884,0,0.593987,0.00315,2.45314
-0.0836393,0,0.614317,0.00315,2.45314
-0.0888124,0,0.622713,0.003,2.45314
-0.0755714,0,0.568283,0.0033,2.45314
-0.0647847,0,0.575261,0.0033,2.45314
-0.0759711,0,0.624507,0.00335,2.45314
-0.0866994,0,0.632402,0.0031,2.45314
-0.0729502,0,0.616748,0.00345,2.45314
-0.0720826,0,0.609233,0.00345,2.45314
-0.0525751,0,0.578101,0.0034,2.45314
-0.0632298,0,0.583903,0.00345,2.45314
-0.0667838,0,0.564068,0.00315,2.45314
-0.055685,0,0.57164,0.00315,2.45314
-0.0870796,0,0.567727,0.00335,2.45314
-0.0925722,0,0.572487,0.0031,2.45314
-0.0891512,0,0.597257,0.00305,2.45314
-0.0595959,0,0.564443,0.0032,2.45314
-0.0742875,0,0.560395,0.0035,2.45314
-0.0643664,0,0.557116,0.003,2.45314
-0.0574544,0,0.555105,0.0035,2.45314
-0.0646394,0,0.619419,0.003,2.45314
-0.0703404,0,0.631879,0.0031,2.45314
-0.072985,0,0.552506,0.0033,2.45314
-0.0613064,0,0.545621,0.0035,2.45314
-0.0488714,0,0.552143,0.0032,2.45314
-0.0501007,0,0.562654,0.003,2.45314
-0.0487272,0,0.544163,0.0035,2.45314
-0.0650552,0,0.600126,0.003,2.45314
-0.061949,0,0.606849,0.00345,2.45314
-0.0748151,0,0.543595,0.0032,2.45314
-0.0838618,0,0.546785,0.0035,2.45314
-0.0824426,0,0.554196,0.00335,2.45314
-0.0465038,0,0.569649,0.00305,2.45314
-0.0682196,0,0.592412,0.0033,2.45314
-0.0596975,0,0.594452,0.00345,2.45314
-0.0562676,0,0.601453,0.00305,2.45314
-0.0497882,0,0.613458,0.00305,2.45314
-0.0589205,0,0.614132,0.00325,2.45314
-0.0473095,0,0.595835,0.003,2.45314
-0.0565958,0,0.587402,0.0032,2.45314
-0.0925652,0,0.561699,0.0034,2.45314
-0.0439738,0,0.579213,0.0031,2.45314
-0.0495869,0,0.584958,0.003,2.45314
-0.054742,0,0.623307,0.00325,2.45314
-0.0638815,0,0.626587,0.00325,2.45314
-0.0380267,0,0.6082,0.0032,2.45314
-0.0403434,0,0.621389,0.0035,2.45314
