X,Y,Z,r,absv
-0.0928985,0,0.799907,0.0031,1.47239
-0.0907789,0,0.810636,0.0034,1.47239
-0.0819106,0,0.795127,0.00325,1.47239
-0.0801407,0,0.802722,0.0031,1.47239
-0.0918548,0,0.786316,0.0032,1.47239
-0.0844874,0,0.783806,0.0031,1.47239
-0.0913132,0,0.778842,0.0031,1.47239
-0.0840113,0,0.770846,0.0033,1.47239
-0.0745368,0,0.780668,0.0033,1.47239
-0.0762005,0,0.77259,0.00325,1.47239
-0.075884,0,0.790346,0.00315,1.47239
-0.0836393,0,0.810676,0.00315,1.47239
-0.0888124,0,0.819071,0.003,1.47239
-0.0755714,0,0.764641,0.0033,1.47239
-0.0647847,0,0.77162,0.0033,1.47239
-0.0759711,0,0.820865,0.00335,1.47239
-0.0866994,0,0.82876,0.0031,1.47239
-0.0729502,0,0.813107,0.00345,1.47239
-0.0720826,0,0.805591,0.00345,1.47239
-0.0525751,0,0.774459,0.0034,1.47239
-0.0632298,0,0.780262,0.00345,1.47239
-0.0667838,0,0.760426,0.00315,1.47239
-0.055685,0,0.767999,0.00315,1.47239
-0.0870796,0,0.764085,0.00335,1.47239
-0.0925722,0,0.768846,0.0031,1.47239
-0.0891512,0,0.793615,0.00305,1.47239
-0.0595959,0,0.760801,0.0032,1.47239
-0.0742875,0,0.756753,0.0035,1.47239
-0.0643664,0,0.753475,0.003,1.47239
-0.0574544,0,0.751463,0.0035,1.47239
-0.0646394,0,0.815778,0.003,1.47239
-0.0703404,0,0.828238,0.0031,1.47239
-0.072985,0,0.748864,0.0033,1.47239
-0.0613064,0,0.74198,0.0035,1.47239
-0.0488714,0,0.748502,0.0032,1.47239
-0.0501007,0,0.759013,0.003,1.47239
-0.0487272,0,0.740522,0.0035,1.47239
-0.0650552,0,0.796484,0.003,1.47239
-0.061949,0,0.803208,0.00345,1.47239
-0.0748151,0,0.739953,0.0032,1.47239
-0.0838618,0,0.743144,0.0035,1.47239
-0.0824426,0,0.750554,0.00335,1.47239
-0.0465038,0,0.766008,0.00305,1.47239
-0.0682196,0,0.788771,0.0033,1.47239
-0.0596975,0,0.79081,0.00345,1.47239
-0.0562676,0,0.797812,0.00305,1.47239
-0.0497882,0,0.809816,0.00305,1.47239
-0.0589205,0,0.81049,0.00325,1.47239
-0.0473095,0,0.792194,0.003,1.47239
-0.0565958,0,0.783761,0.0032,1.47239
-0.0925652,0,0.758057,0.0034,1.47239
-0.0439738,0,0.775571,0.0031,1.47239
-0.0495869,0,0.781316,0.003,1.47239
-0.054742,0,0.819665,0.00325,1.47239
-0.0638815,0,0.822946,0.00325,1.47239
-0.0380267,0,0.804559,0.0032,1.47239
-0.0403434,0,0.817748,0.0035,1.47239
-0.0621609,0,0.734063,0.0033,1.47239
-0.0528198,0,0.731188,0.0034,1.47239
-0.0444116,0,0.800836,0.0034,1.47239
-0.0917022,0,0.746047,0.003,1.47239
-0.0835348,0,0.734617,0.0035,1.47239
-0.0927984,0,0.736377,0.0031,1.47239
-0.0771864,0,0.73083,0.00305,1.47239
-0.0359716,0,0.791861,0.00305,1.47239
-0.0373635,0,0.782776,0.00315,1.47239
-0.0732556,0,0.798217,0.003,1.47239
-0.0924753,0,0.725876,0.0032,1.47239
-0.0819548,0,0.720461,0.003,1.47239
-0.0697471,0,0.733223,0.00345,1.47239
-0.0817129,0,0.757656,0.0032,1.47239
-0.0281749,0,0.78467,0.00335,1.47239
-0.034719,0,0.770793,0.0033,1.47239
-0.0293716,0,0.794575,0.0034,1.47239
-0.0880903,0,0.716815,0.00305,1.47239
-0.0383187,0,0.748018,0.00345,1.47239
-0.0386964,0,0.731755,0.00315,1.47239
-0.0400901,0,0.738903,0.00335,1.47239
-0.0460175,0,0.727048,0.00305,1.47239
-0.0567514,0,0.719533,0.003,1.47239
-0.0722112,0,0.725021,0.0031,1.47239
-0.0765043,0,0.712868,0.0035,1.47239
-0.0851067,0,0.708437,0.00345,1.47239
-0.0347207,0,0.76363,0.00345,1.47239
-0.0224498,0,0.772082,0.0032,1.47239
-0.0316733,0,0.77736,0.00345,1.47239
-0.0606317,0,0.830344,0.00315,1.47239
-0.049382,0,0.832827,0.0033,1.47239
-0.0460788,0,0.822952,0.0033,1.47239
-0.0324805,0,0.736006,0.0031,1.47239
-0.0292426,0,0.745506,0.0033,1.47239
-0.0611657,0,0.72632,0.00325,1.47239
-0.0652809,0,0.719678,0.00325,1.47239
-0.0684517,0,0.704327,0.0034,1.47239
-0.0772348,0,0.703355,0.0035,1.47239
-0.0646637,0,0.71105,0.00345,1.47239
-0.0194052,0,0.782657,0.0035,1.47239
-0.0732166,0,0.835374,0.0031,1.47239
-0.0775863,0,0.828279,0.0035,1.47239
-0.0796131,0,0.838559,0.00335,1.47239
-0.0395273,0,0.829816,0.00345,1.47239
-0.0465375,0,0.842467,0.0031,1.47239
-0.0562933,0,0.838164,0.00335,1.47239
-0.0373927,0,0.839475,0.00315,1.47239
-0.0421243,0,0.756946,0.00335,1.47239
-0.0306025,0,0.755331,0.00345,1.47239
-0.0100439,0,0.781393,0.00305,1.47239
-0.00886257,0,0.790359,0.0033,1.47239
-0.021527,0,0.794026,0.0034,1.47239
-0.0493652,0,0.709623,0.0031,1.47239
-0.0474021,0,0.717942,0.0033,1.47239
-0.0571699,0,0.707542,0.0032,1.47239
-0.0917438,0,0.705442,0.00305,1.47239
-0.0842371,0,0.695624,0.00315,1.47239
-0.0553634,0,0.845911,0.0034,1.47239
-0.0512573,0,0.85388,0.003,1.47239
-0.0409591,0,0.852601,0.00345,1.47239
-0.0191575,0,0.741682,0.00315,1.47239
-0.0231582,0,0.750568,0.00345,1.47239
-0.0661471,0,0.837366,0.00305,1.47239
-0.0179889,0,0.759679,0.00315,1.47239
-0.0624274,0,0.848669,0.00335,1.47239
-0.0708244,0,0.846355,0.00345,1.47239
-0.0628453,0,0.856506,0.00315,1.47239
-0.0108255,0,0.73623,0.00325,1.47239
-0.0151554,0,0.728696,0.0035,1.47239
-0.0240983,0,0.734552,0.00305,1.47239
-0.0116692,0,0.75029,0.00315,1.47239
-0.00927906,0,0.743372,0.0035,1.47239
-0.0869725,0,0.837972,0.00305,1.47239
-0.0790966,0,0.846489,0.0031,1.47239
-0.0306105,0,0.72834,0.0033,1.47239
