X,Y,Z,r,absv
-0.0928985,0,0.898014,0.0031,0.49042
-0.0907789,0,0.908743,0.0034,0.49042
-0.0819106,0,0.893234,0.00325,0.49042
-0.0801407,0,0.900829,0.0031,0.49042
-0.0918548,0,0.884423,0.0032,0.49042
-0.0844874,0,0.881914,0.0031,0.49042
-0.0913132,0,0.876949,0.0031,0.49042
-0.0840113,0,0.868953,0.0033,0.49042
-0.0745368,0,0.878775,0.0033,0.49042
-0.0762005,0,0.870697,0.00325,0.49042
-0.075884,0,0.888453,0.00315,0.49042
-0.0836393,0,0.908783,0.00315,0.49042
-0.0888124,0,0.917179,0.003,0.49042
-0.0755714,0,0.862749,0.0033,0.49042
-0.0647847,0,0.869727,0.0033,0.49042
-0.0759711,0,0.918972,0.00335,0.49042
-0.0866994,0,0.926867,0.0031,0.49042
-0.0729502,0,0.911214,0.00345,0.49042
-0.0720826,0,0.903698,0.00345,0.49042
-0.0525751,0,0.872566,0.0034,0.49042
-0.0632298,0,0.878369,0.00345,0.49042
-0.0667838,0,0.858533,0.00315,0.49042
-0.055685,0,0.866106,0.00315,0.49042
-0.0870796,0,0.862192,0.00335,0.49042
-0.0925722,0,0.866953,0.0031,0.49042
-0.0891512,0,0.891722,0.00305,0.49042
-0.0595959,0,0.858909,0.0032,0.49042
-0.0742875,0,0.854861,0.0035,0.49042
-0.0643664,0,0.851582,0.003,0.49042
-0.0574544,0,0.849571,0.0035,0.49042
-0.0646394,0,0.913885,0.003,0.49042
-0.0703404,0,0.926345,0.0031,0.49042
-0.072985,0,0.846971,0.0033,0.49042
-0.0613064,0,0.840087,0.0035,0.49042
-0.0488714,0,0.846609,0.0032,0.49042
-0.0501007,0,0.85712,0.003,0.49042
-0.0487272,0,0.838629,0.0035,0.49042
-0.0650552,0,0.894592,0.003,0.49042
-0.061949,0,0.901315,0.00345,0.49042
-0.0748151,0,0.83806,0.0032,0.49042
-0.0838618,0,0.841251,0.0035,0.49042
-0.0824426,0,0.848661,0.00335,0.49042
-0.0465038,0,0.864115,0.00305,0.49042
-0.0682196,0,0.886878,0.0033,0.49042
-0.0596975,0,0.888918,0.00345,0.49042
-0.0562676,0,0.895919,0.00305,0.49042
-0.0497882,0,0.907923,0.00305,0.49042
-0.0589205,0,0.908598,0.00325,0.49042
-0.0473095,0,0.890301,0.003,0.49042
-0.0565958,0,0.881868,0.0032,0.49042
-0.0925652,0,0.856165,0.0034,0.49042
-0.0439738,0,0.873678,0.0031,0.49042
-0.0495869,0,0.879424,0.003,0.49042
-0.054742,0,0.917772,0.00325,0.49042
-0.0638815,0,0.921053,0.00325,0.49042
-0.0380267,0,0.902666,0.0032,0.49042
-0.0403434,0,0.915855,0.0035,0.49042
-0.0621609,0,0.83217,0.0033,0.49042
-0.0528198,0,0.829296,0.0034,0.49042
-0.0444116,0,0.898943,0.0034,0.49042
-0.0917022,0,0.844154,0.003,0.49042
-0.0835348,0,0.832724,0.0035,0.49042
-0.0927984,0,0.834484,0.0031,0.49042
-0.0771864,0,0.828937,0.00305,0.49042
-0.0359716,0,0.889968,0.00305,0.49042
-0.0373635,0,0.880883,0.00315,0.49042
-0.0732556,0,0.896324,0.003,0.49042
-0.0924753,0,0.823983,0.0032,0.49042
-0.0819548,0,0.818569,0.003,0.49042
-0.0697471,0,0.83133,0.00345,0.49042
-0.0817129,0,0.855763,0.0032,0.49042
-0.0281749,0,0.882778,0.00335,0.49042
-0.034719,0,0.8689,0.0033,0.49042
-0.0293716,0,0.892682,0.0034,0.49042
-0.0880903,0,0.814922,0.00305,0.49042
-0.0383187,0,0.846125,0.00345,0.49042
-0.0386964,0,0.829863,0.00315,0.49042
-0.0400901,0,0.837011,0.00335,0.49042
-0.0460175,0,0.825155,0.00305,0.49042
-0.0567514,0,0.81764,0.003,0.49042
-0.0722112,0,0.823129,0.0031,0.49042
-0.0765043,0,0.810975,0.0035,0.49042
-0.0851067,0,0.806544,0.00345,0.49042
-0.0347207,0,0.861737,0.00345,0.49042
-0.0224498,0,0.87019,0.0032,0.49042
-0.0316733,0,0.875467,0.00345,0.49042
-0.0606317,0,0.928451,0.00315,0.49042
-0.049382,0,0.930934,0.0033,0.49042
-0.0460788,0,0.921059,0.0033,0.49042
-0.0324805,0,0.834113,0.0031,0.49042
-0.0292426,0,0.843613,0.0033,0.49042
-0.0611657,0,0.824428,0.00325,0.49042
-0.0652809,0,0.817785,0.00325,0.49042
-0.0684517,0,0.802435,0.0034,0.49042
-0.0772348,0,0.801462,0.0035,0.49042
-0.0646637,0,0.809158,0.00345,0.49042
-0.0194052,0,0.880764,0.0035,0.49042
-0.0732166,0,0.933482,0.0031,0.49042
-0.0775863,0,0.926386,0.0035,0.49042
-0.0796131,0,0.936666,0.00335,0.49042
-0.0395273,0,0.927923,0.00345,0.49042
-0.0465375,0,0.940574,0.0031,0.49042
-0.0562933,0,0.936271,0.00335,0.49042
-0.0373927,0,0.937582,0.00315,0.49042
-0.0421243,0,0.855053,0.00335,0.49042
-0.0306025,0,0.853438,0.00345,0.49042
-0.0100439,0,0.8795,0.00305,0.49042
-0.00886257,0,0.888466,0.0033,0.49042
-0.021527,0,0.892134,0.0034,0.49042
-0.0493652,0,0.80773,0.0031,0.49042
-0.0474021,0,0.816049,0.0033,0.49042
-0.0571699,0,0.805649,0.0032,0.49042
-0.0917438,0,0.803549,0.00305,0.49042
-0.0842371,0,0.793732,0.00315,0.49042
-0.0553634,0,0.944018,0.0034,0.49042
-0.0512573,0,0.951987,0.003,0.49042
-0.0409591,0,0.950708,0.00345,0.49042
-0.0191575,0,0.839789,0.00315,0.49042
-0.0231582,0,0.848675,0.00345,0.49042
-0.0661471,0,0.935473,0.00305,0.49042
-0.0179889,0,0.857786,0.00315,0.49042
-0.0624274,0,0.946776,0.00335,0.49042
-0.0708244,0,0.944463,0.00345,0.49042
-0.0628453,0,0.954613,0.00315,0.49042
-0.0108255,0,0.834337,0.00325,0.49042
