X,Y,Z,r,absv
-0.0966352,0,0.424514,0.00335,0.0282861
-0.0920958,0,0.429041,0.00305,0.0100769
-0.0859561,0,0.427474,0.003,0.0644677
-0.0808148,0,0.431175,0.00325,0.063749
-0.0967963,0,0.417923,0.0032,0.0209356
-0.0904892,0,0.416095,0.00335,0.0456262
-0.0965315,0,0.411241,0.00345,0.0203071
-0.0834113,0,0.413206,0.003,0.0741884
-0.0789256,0,0.417713,0.003,0.0436975
-0.084838,0,0.419224,0.0031,0.0477091
-0.0806434,0,0.424077,0.0033,0.0515413
-0.0868891,0,0.433753,0.00335,0.0761261
-0.096518,0,0.433889,0.0034,0.0185031
-0.0753042,0,0.412926,0.003,0.049987
-0.0707815,0,0.416869,0.003,0.0554047
-0.080998,0,0.437748,0.0033,0.0544379
-0.0912779,0,0.43889,0.0034,0.0557738
-0.074768,0,0.439626,0.0032,0.0586596
-0.0718429,0,0.434084,0.00305,0.0682584
-0.0537121,0,0.421933,0.0035,0.0567849
-0.0644006,0,0.41662,0.0032,0.0443892
-0.0679901,0,0.4113,0.0032,0.0411718
-0.0575948,0,0.416167,0.00345,0.0549196
-0.0845572,0,0.405177,0.0032,0.039696
-0.0898618,0,0.409271,0.0035,0.0385144
-0.0901638,0,0.422786,0.0033,0.0596769
-0.0613942,0,0.410401,0.00345,0.0547801
-0.0728557,0,0.406679,0.0035,0.033741
-0.0656625,0,0.405432,0.0031,0.0606321
-0.0546783,0,0.410233,0.00315,0.0616992
-0.0654614,0,0.434214,0.00325,0.0641516
-0.0714867,0,0.445063,0.00315,0.0542012
-0.0732126,0,0.399988,0.0032,0.0260884
-0.0579016,0,0.404624,0.0033,0.0600863
-0.047404,0,0.409941,0.00305,0.0590278
-0.0506183,0,0.415649,0.0035,0.0631433
-0.0511035,0,0.404539,0.0035,0.0619469
-0.0687122,0,0.428851,0.003,0.0659349
-0.0626502,0,0.428563,0.00305,0.0685056
-0.0782808,0,0.395747,0.0034,0.0269399
-0.0843873,0,0.398627,0.00335,0.0470925
-0.0790656,0,0.40218,0.00305,0.0356436
-0.0439236,0,0.415974,0.0032,0.0787761
