X,Y,Z,r,absv
-0.0968837,0,0.424257,0.0031,0.0406567
-0.0921297,0,0.428688,0.0034,0.0250285
-0.0861333,0,0.424987,0.00325,0.11234
-0.0805351,0,0.4286,0.0031,0.0504884
-0.0968156,0,0.417949,0.0032,0.0689435
-0.0858611,0,0.418679,0.0031,0.103403
-0.0910872,0,0.415373,0.0031,0.072017
-0.0854833,0,0.412316,0.0033,0.06997
-0.0744664,0,0.419082,0.0033,0.0538509
-0.0801421,0,0.415977,0.00325,0.0784217
-0.0800543,0,0.422377,0.00315,0.135671
-0.0861303,0,0.431353,0.00315,0.0285575
-0.0970162,0,0.432913,0.003,0.0868904
-0.0796403,0,0.409319,0.0033,0.130547
-0.0679619,0,0.409438,0.0033,0.0513606
-0.0911941,0,0.435382,0.00335,0.0576264
-0.0968148,0,0.439095,0.0031,0.0505335
-0.0812059,0,0.435704,0.00345,0.026084
-0.0752063,0,0.432421,0.00345,0.0753457
-0.0619985,0,0.412499,0.0034,0.0781636
-0.0684195,0,0.416114,0.00345,0.0775002
-0.0739895,0,0.412606,0.00315,0.0484786
-0.0621396,0,0.405853,0.00315,0.0553722
-0.0911186,0,0.408935,0.00335,0.0438094
-0.0969301,0,0.41165,0.0031,0.0408696
-0.0913869,0,0.42151,0.00305,0.0341496
-0.067771,0,0.402986,0.0032,0.0572704
-0.0737634,0,0.405967,0.0035,0.0753563
-0.0616762,0,0.399743,0.003,0.0537957
-0.0553303,0,0.402244,0.0035,0.056942
-0.0697698,0,0.435954,0.003,0.077441
-0.0701998,0,0.44275,0.0031,0.0807815
-0.0731093,0,0.399237,0.0033,0.0319294
-0.0612056,0,0.393277,0.0035,0.0541127
-0.0474208,0,0.405126,0.0032,0.0612226
-0.0566852,0,0.408599,0.003,0.0608234
-0.0486319,0,0.398578,0.0035,0.0279877
-0.069817,0,0.429011,0.003,0.0269102
-0.0637936,0,0.426861,0.00345,0.0242512
-0.0776413,0,0.394626,0.0032,0.00850923
-0.0839598,0,0.396811,0.0035,0.0209633
-0.0792428,0,0.401771,0.00335,0.0640502
-0.046634,0,0.411289,0.00305,0.0742534
-0.0691004,0,0.422795,0.0033,0.0322407
-0.062832,0,0.420085,0.00345,0.043977
